franchID,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,yearID
Napoli,5,38,24,5,9,86,41,45,77,2.03,2021
Lazio,6,38,21,5,12,61,55,6,68,1.79,2021
Roma,7,38,18,8,12,68,58,10,62,1.63,2021
Sassuolo,8,38,17,11,10,64,56,8,62,1.63,2021
Sampdoria,9,38,15,7,16,52,54,-2,52,1.37,2021
Hellas Verona,10,38,11,12,15,46,48,-2,45,1.18,2021
Genoa,11,38,10,12,16,47,58,-11,42,1.11,2021
Bologna,12,38,10,11,17,51,65,-14,41,1.08,2021
Fiorentina,13,38,9,13,16,47,59,-12,40,1.05,2021
Udinese,14,38,10,10,18,42,58,-16,40,1.05,2021
Spezia,15,38,9,12,17,52,72,-20,39,1.03,2021
Cagliari,16,38,9,10,19,43,59,-16,37,0.97,2021
Torino,17,38,7,16,15,50,69,-19,37,0.97,2021
Benevento,18,38,7,12,19,40,75,-35,33,0.87,2021
Crotone,19,38,6,5,27,45,92,-47,23,0.61,2021
Parma,20,38,3,11,24,39,83,-44,20,0.53,2021
Milan,1,38,26,8,4,69,31,38,86,2.26,2022
Inter,2,38,25,9,4,84,32,52,84,2.21,2022
Napoli,3,38,24,7,7,74,31,43,79,2.08,2022
Juventus,4,38,20,10,8,57,37,20,70,1.84,2022
Lazio,5,38,18,10,10,77,58,19,64,1.68,2022
Roma,6,38,18,9,11,59,43,16,63,1.66,2022
Fiorentina,7,38,19,5,14,59,51,8,62,1.63,2022
Atalanta,8,38,16,11,11,65,48,17,59,1.55,2022
Hellas Verona,9,38,14,11,13,65,59,6,53,1.39,2022
Torino,10,38,13,11,14,46,41,5,50,1.32,2022
Sassuolo,11,38,13,11,14,64,66,-2,50,1.32,2022
Udinese,12,38,11,14,13,61,58,3,47,1.24,2022
Bologna,13,38,12,10,16,44,55,-11,46,1.21,2022
Empoli,14,38,10,11,17,50,70,-20,41,1.08,2022
Sampdoria,15,38,10,6,22,46,63,-17,36,0.95,2022
Spezia,16,38,10,6,22,41,71,-30,36,0.95,2022
Salernitana,17,38,7,10,21,33,78,-45,31,0.82,2022
Cagliari,18,38,6,12,20,34,68,-34,30,0.79,2022
Genoa,19,38,4,16,18,27,60,-33,28,0.74,2022
Venezia,20,38,6,9,23,34,69,-35,27,0.71,2022
